วัดพระสิงห์วรมหาวิหาร
วัดพระธาตุดอยสุเทพราชวรวิหาร
วัดพระธาตุศรีจอมทองวรวิหาร
วัดเจ็ดยอด
วัดสวนดอก
วัดศรีโสดา
วัดท่าตอน
วัดพระธาตุดอยสะเก็ด
วัดเจดีย์หลวงวรวิหาร
วัดป่าดาราภิรมย์
วัดชัยมงคล
วัดช่างฆ้อง
วัดบุพพาราม
วัดพันตอง
วัดมหาวัน
วัดลอยเคราะห์
วัดหัวฝาย
วัดอุปคุต
วัดข่วงสิงห์
วัดเจ็ดยอด
วัดช่างเคี่ยน
วัดแม่หยวก
วัดชมพู
วัดชัยศรีภูมิ์
วัดเชตวัน
วัดป่าแพ่ง
วัดแสนฝาง
วัดหนองคำ
วัดอู่ทรายคำ
วัดต้นปิน
วัดตำหนัก
วัดท่าข้าม
วัดป่าชี
วัดพระธาตุดอยคำ
วัดสวนพริก
วัดอุโบสถ
วัดดอนจั่น
วัดบวกครกหลวง
วัดศรีบัวเงิน
วัดเกาะกลาง
วัดดอนชัย
วัดต้นตาลโตน
วัดท่าใหม่อิ
วัดป่าแดด
วัดป่าพร้าวนอก
วัดวังสิงห์คำ
วัดบ้านท่อ
วัดป่าตัน
วัดเมืองลัง
วัดดาวดึงษ์
วัดธาตุคำ
วัดนันทาราม
วัดพวกช้าง
วัดพวกเปีย
วัดยางกวง
วัดเมืองมาง
วัดศรีปิงเมือง
วัดศรีสุพรรณ
วัดหมื่นสาร
วัดช่างแต้ม
วัดทรายมูลพม่า
วัดทรายมูลเมือง
วัดผ้าขาว
วัดพระเจ้าเม็งราย
วัดพวกแต้ม
วัดพวกหงษ์
วัดพันเตา
วัดพันแหวน
วัดพันอ้น
วัดฟ่อนสร้อย
วัดเมธัง
วัดศรีเกิด
วัดหมื่นเงินกอง
วัดหมื่นตูม
วัดเจ็ดลิน
วัดขะจาว
วัดท่ากระดาษ
วัดฟ้าฮ่าม
วัดลังกา
วัดสันทราย
วัดกู่คำ
วัดเกตการาม
วัดเชตุพน
วัดท่าสะต๋อย
วัดเมืองกาย
วัดศรีโขง
วัดสันป่าข่อย
วัดกู่เต้า
วัดควรค่าม้า
วัดชัยพระเกียรติ
วัดเชียงมั่น
วัดเชียงยืน
วัดดวงดี
วัดดอกคำ
วัดดอกเอื้อง
วัดดับภัย
วัดทุงยู
วัดปราสาท
วัดป้านปิง
วัดป่าเป้า
วัดป่าพร้าวใน
วัดผาบ่อง
วัดพระครู
วัดราชมณเฑียร
วัดล่ามช้าง
วัดโลกโมฬี
วัดแสนเมืองมาหลวง
วัดสำเภา
วัดหม้อคำตวง
วัดหมื่นล้าน
วัดอุโมงค์มหาเถรจันทร์
วัดอินทขีลสะดือเมือง
วัดท่าเดื่อ
วัดท่าหลุก
วัดป่าข่อยใต้
วัดป่าข่อยเหนือ
วัดร้องอ้อ
วัดป่าแดงมหาวิหาร
วัดผาลาด
วัดฝายหิน
วัดร่ำเปิง
วัดใหม่ห้วยทราย
วัดอุโมงค์
วัดบวกครกน้อย
วัดหนองป่าครั่ง
วัดเมืองสาตรน้อย
วัดเมืองสาตรหลวง
วัดศรีบุญเรือง
วัดสันป่าเลียง
วัดเสาหิน
วัดสันติธรรม
วัดพระธาตุดอยเกิ้ง
วัดบ้านชั่ง
วัดแปลงห้า
วัดวังหลวง
วัดดอยเต่า
วัดเด่นคา
